koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm
jgai001,high,job_hunting,98800,1,209,30,12,5,10,0,20000.00,0.47,40.98,16000.00,57.76,5522.95
xxxxlxxxx,high,job_hunting,91700,5,5882,374,39,33,22,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,1,11000,681,38,59,62,0,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,3,5999,269,33,35,55,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,5,684,76,16,10,9,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,3,1002,67,8,5,3,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,3,8684,344,56,24,14,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,0,14000,472,61,44,20,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,0,28000,1736,95,106,192,0,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,1,9229,474,79,100,14,1,20000.00,8.00,543.93,19000.00,0.00,0.00
xxxxlxxxx,high,job_hunting,91700,3,45000,2690,159,333,171,0,20000.00,8.00,543.93,19000.00,0.00,0.00
983975704,high,job_hunting,62600,3,76000,5041,1433,9,68,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,19000,5450,1351,9,33,0,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,5,206000,12000,2731,161,160,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,44000,1039,108,1,19,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,1,55000,2200,946,4480,31,0,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,8286,1812,141,14,8,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,49000,1342,215,6,12,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,313000,2748,737,85,55,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,35000,1431,176,1,14,1,15000.00,0.00,0.00,10000.00,1.59,123.25
983975704,high,job_hunting,62600,3,33000,7746,1941,287,68,1,15000.00,0.00,0.00,10000.00,1.59,123.25
Evenbetter001,high,job_hunting,48400,3,8627,487,259,10,34,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,5,11000,538,263,34,78,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,5,19000,916,652,25,107,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,3,16000,743,489,19,106,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,5,380000,19000,11000,413,2355,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,3,38000,1828,1007,100,218,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,3,22000,952,851,42,123,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,5,245,14,8,0,1,0,3000.00,0.64,49.50,3000.00,0.00,0.00
Evenbetter001,high,job_hunting,48400,3,50000,1389,647,270,621,0,3000.00,0.64,49.50,3000.00,0.00,0.00
